detector,accuracy,precision,recall,f1,specificity,f1_std,sybil_rate,seed,fit_time_s,attack_model
Random Forest,0.9979,0.9949,0.9647,0.9783,0.9997,0.0405,10,123,2.6,split_position
LSTM,0.9444,0.0,0.0,0.0,1.0,0.0,10,123,13.45,split_position
Dynamic k-Means,0.9398,0.4784,1.0,0.6471,0.9363,0.0,10,123,0.06,split_position
IQR Speed Threshold,0.1067,0.1067,1.0,0.1928,0.0,0.0,15,123,0.05,split_position
RSU Position Verification,1.0,1.0,1.0,1.0,1.0,0.0,15,123,8.47,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,15,123,0.48,split_position
Random Forest,0.9967,0.9975,0.968,0.9815,0.9998,0.0357,15,123,2.15,split_position
LSTM,0.8421,0.4,1.0,0.5714,0.8235,0.0,15,123,10.94,split_position
Dynamic k-Means,0.9972,0.9747,1.0,0.9872,0.9969,0.0,15,123,0.1,split_position
IQR Speed Threshold,0.1988,0.1988,1.0,0.3317,0.0,0.0,20,123,0.04,split_position
RSU Position Verification,0.9443,0.7812,1.0,0.8772,0.9305,0.0,20,123,8.67,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,20,123,0.52,split_position
Random Forest,0.9999,0.9995,1.0,0.9997,0.9999,0.0005,20,123,2.17,split_position
LSTM,0.9048,0.75,0.75,0.75,0.9412,0.0,20,123,12.6,split_position
Dynamic k-Means,0.9585,0.9935,0.7963,0.884,0.9987,0.0,20,123,0.06,split_position
IQR Speed Threshold,0.2282,0.2282,1.0,0.3716,0.0,0.0,25,123,0.06,split_position
RSU Position Verification,0.9806,0.9217,1.0,0.9592,0.9749,0.0,25,123,11.07,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,25,123,0.53,split_position
Random Forest,1.0,1.0,1.0,1.0,1.0,0.0,25,123,2.22,split_position
LSTM,0.6818,0.0,0.0,0.0,0.8824,0.0,25,123,11.95,split_position
Dynamic k-Means,0.9814,0.9962,0.922,0.9577,0.999,0.0,25,123,0.06,split_position
IQR Speed Threshold,0.2834,0.2834,1.0,0.4416,0.0,0.0,30,123,0.06,split_position
RSU Position Verification,0.8993,0.9365,0.6916,0.7956,0.9815,0.0,30,123,10.7,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,30,123,0.92,split_position
Random Forest,0.9998,0.9994,1.0,0.9997,0.9997,0.0006,30,123,2.68,split_position
LSTM,0.7826,0.5556,0.8333,0.6667,0.7647,0.0,30,123,9.19,split_position
Dynamic k-Means,1.0,1.0,1.0,1.0,1.0,0.0,30,123,0.06,split_position
