step,vehicle_id,x,y,speed,accel,angle,edge_id,n_neighbors,min_rsu_dist,mean_rsu_dist,is_sybil,attacker_id
0,legit_0,787.7,401.6,0.0,0.0,270.0,E2D2,0,56.14,503.55,0,-1
1,legit_0,785.52,401.6,2.1817,2.1817,270.0,E2D2,0,54.7,502.91,0,-1
2,legit_0,780.9,401.6,4.6221,2.4405,270.0,E2D2,0,51.82,501.6,0,-1
2,sybil_3,198.4,990.2,3.2985,0.0,183.9,B5B4,0,102.01,668.71,1,3
3,legit_0,774.1,401.6,6.7966,2.1745,270.0,E2D2,0,48.08,499.73,0,-1
3,sybil_3,198.4,988.41,0.0,-3.2985,180.99,B5B4,0,103.59,667.82,1,3
4,legit_0,765.91,401.6,8.1917,1.3951,270.0,E2D2,0,44.54,497.6,0,-1
4,sybil_3,198.4,984.52,12.5254,12.5254,180.0,B5B4,0,107.05,665.88,1,3
5,legit_0,756.32,401.6,9.586,1.3944,270.0,E2D2,0,42.08,495.28,0,-1
5,sybil_3,198.4,979.19,26.8639,14.3385,180.0,B5B4,0,111.82,663.25,1,3
6,legit_0,744.69,401.6,11.6307,2.0446,270.0,E2D2,0,41.94,492.75,0,-1
6,legit_1,412.3,598.4,0.0,0.0,90.0,C3D3,0,37.73,474.54,0,-1
6,sybil_3,198.4,971.57,10.1522,-16.7117,180.0,B5B4,0,118.74,659.53,1,3
7,legit_0,731.21,401.6,13.4848,1.8541,270.0,E2D2,0,45.65,490.21,0,-1
7,legit_1,413.62,598.4,1.3189,1.3189,90.0,C3D3,0,36.42,474.13,0,-1
7,sybil_3,198.4,962.51,12.5192,2.367,180.0,B5B4,0,127.07,655.17,1,3
8,legit_0,717.82,401.6,13.3908,-0.094,270.0,E2D2,0,52.6,488.05,0,-1
8,legit_1,417.44,598.4,3.819,2.5001,90.0,C3D3,0,32.6,472.94,0,-1
8,sybil_3,198.4,951.43,0.0,-12.5192,180.0,B5B4,0,121.49,649.96,1,3
9,legit_0,704.14,401.6,13.6795,0.2887,270.0,E2D2,0,61.92,486.17,0,-1
9,legit_1,423.52,598.4,6.0859,2.2669,90.0,C3D3,0,26.52,471.09,0,-1
9,sybil_0,988.2,801.6,0.0,0.0,270.65,F4E4,0,72.76,586.98,1,0
9,sybil_3,198.4,938.51,11.2443,11.2443,180.0,B5B4,0,109.76,644.02,1,3
10,legit_0,691.26,401.6,12.8726,-0.8068,270.0,E2D2,0,71.98,484.66,0,-1
10,legit_1,431.4,598.4,7.8763,1.7904,90.0,C3D3,0,18.67,468.75,0,-1
10,sybil_0,986.22,801.6,0.0,0.0,270.0,F4E4,0,74.45,585.95,1,0
10,sybil_3,198.4,925.99,5.507,-5.7373,180.0,B5B4,0,98.68,638.43,1,3
11,legit_0,677.85,401.6,13.4167,0.5441,270.0,E2D2,0,83.29,483.32,0,-1
11,legit_1,441.52,598.4,10.115,2.2387,90.0,C3D3,0,8.63,465.85,0,-1
11,sybil_0,982.55,801.6,8.638,8.638,270.0,F4E4,0,77.61,584.06,1,0
11,sybil_3,198.4,914.02,18.0062,12.4992,180.0,B5B4,0,88.44,633.22,1,3
12,legit_0,664.89,401.6,12.9612,-0.4555,270.0,E2D2,0,94.74,482.25,0,-1
12,legit_1,454.22,598.4,12.7022,2.5872,90.0,C3D3,0,4.51,462.81,0,-1
12,legit_2,601.6,812.3,0.0,0.0,0.0,D4D5,0,150.96,484.0,0,-1
12,sybil_0,977.56,801.6,10.4365,1.7986,270.0,F4E4,0,81.99,581.51,1,0
12,sybil_3,198.4,901.0,17.1952,-0.811,180.0,B5B4,0,77.87,627.73,1,3
13,legit_0,651.68,401.6,13.202,0.2408,270.0,E2D2,0,106.76,481.36,0,-1
13,legit_1,467.83,598.4,13.6082,0.9061,90.0,C3D3,0,17.9,460.65,0,-1
13,legit_2,601.6,814.81,2.5069,2.5069,0.0,D4D5,0,150.52,484.78,0,-1
13,sybil_0,970.05,801.6,2.5026,-7.9339,270.0,F4E4,0,88.69,577.72,1,0
13,sybil_3,198.4,888.6,17.6448,0.4496,180.0,B5B4,0,68.59,622.68,1,3
14,legit_0,638.98,401.6,12.701,-0.501,270.0,E2D2,0,118.56,480.71,0,-1
14,legit_1,481.21,598.4,13.3802,-0.228,90.0,C3D3,0,31.25,458.74,0,-1
14,legit_2,601.6,819.43,4.6246,2.1177,0.0,D4D5,0,149.82,486.24,0,-1
14,sybil_0,960.47,801.6,5.6342,3.1316,270.0,F4E4,0,97.42,572.98,1,0
14,sybil_3,198.4,876.18,8.4431,-9.2018,180.0,B5B4,0,60.43,617.82,1,3
15,legit_0,626.12,401.6,12.8642,0.1632,270.0,E2D2,0,130.68,480.23,0,-1
15,legit_1,494.11,598.4,12.9026,-0.4776,90.0,C3D3,0,44.14,457.09,0,-1
15,legit_2,601.6,825.39,5.9631,1.3386,0.0,D4D5,0,149.12,488.18,0,-1
15,sybil_0,949.38,801.6,9.1695,3.5353,270.0,F4E4,0,107.7,567.62,1,0
15,sybil_3,198.4,863.9,6.6643,-1.7788,180.0,B5B4,0,53.98,613.23,1,3
16,legit_0,615.83,401.6,10.289,-2.5752,270.0,E2D2,0,140.47,479.99,0,-1
16,legit_1,506.79,598.4,12.6818,-0.2208,90.0,C3D3,0,56.81,455.66,0,-1
16,legit_2,601.6,832.98,7.5902,1.6271,0.0,D4D5,0,148.57,490.72,0,-1
16,sybil_0,936.43,801.6,12.1451,2.9756,270.0,F4E4,0,119.89,561.52,1,0
16,sybil_3,198.4,850.95,4.0613,-2.603,180.0,B5B4,0,49.62,608.65,1,3
17,legit_0,610.04,401.6,5.789,-4.5,270.0,E2D2,0,146.01,479.9,0,-1
17,legit_1,519.88,598.4,13.0932,0.4114,90.0,C3D3,0,69.9,454.38,0,-1
17,legit_2,601.6,841.94,8.9578,1.3676,0.0,D4D5,0,148.41,493.83,0,-1
17,sybil_0,923.39,801.6,15.7104,3.5653,270.0,F4E4,0,132.3,555.55,1,0
17,sybil_2,992.3,1.6,0.0,0.0,269.19,F0E0,0,131.71,795.82,1,2
17,sybil_3,198.4,838.35,10.5518,6.4905,180.0,B5B4,0,48.43,604.5,1,3
18,legit_0,603.54,402.68,6.7242,0.9352,282.69,:D2_4,0,152.55,479.54,0,-1
18,legit_1,533.04,598.4,13.1557,0.0625,90.0,C3D3,0,83.05,453.29,0,-1
18,legit_2,601.6,853.01,11.0633,2.1055,0.0,D4D5,0,148.97,497.84,0,-1
18,legit_3,798.4,787.7,0.0,0.0,180.0,E4E3,1,71.26,503.97,0,-1
18,sybil_0,910.05,801.6,17.8419,2.1315,270.0,F4E4,1,145.12,549.63,1,0
18,sybil_2,990.31,1.6,4.5771,4.5771,270.0,F0E0,0,132.6,794.92,1,2
18,sybil_3,198.4,826.45,0.0,-10.5518,180.0,B5B4,0,50.26,600.86,1,3
19,legit_0,601.6,407.73,5.6772,-1.047,343.65,D2D3,0,155.89,478.11,0,-1
19,legit_1,545.74,598.4,12.6993,-0.4564,90.0,C3D3,0,95.75,452.43,0,-1
19,legit_2,601.6,866.2,13.1937,2.1305,0.0,D4D5,0,150.69,502.86,0,-1
19,legit_3,798.4,786.37,1.3282,1.3282,180.0,E4E3,1,72.24,503.63,0,-1
19,sybil_0,896.88,801.6,7.6762,-10.1656,270.0,F4E4,1,151.82,543.97,1,0
19,sybil_2,986.47,1.6,8.2939,3.7168,270.0,F0E0,0,134.37,793.2,1,2
19,sybil_3,198.4,815.16,9.7263,9.7263,180.0,B5B4,0,54.4,597.65,1,3
20,legit_0,601.6,415.12,7.3919,1.7147,0.0,D2D3,0,158.31,476.09,0,-1
20,legit_1,559.38,598.4,13.6399,0.9406,90.0,C3D3,0,109.39,451.7,0,-1
20,legit_2,601.6,878.83,12.6296,-0.5642,0.0,D4D5,0,153.4,507.91,0,-1
20,legit_3,798.4,783.61,2.7664,1.4382,180.0,E4E3,1,74.32,502.94,0,-1
20,sybil_0,883.73,801.6,9.5876,1.9114,270.0,F4E4,1,139.13,538.49,1,0
20,sybil_2,980.07,1.6,2.1288,-6.1651,270.0,F0E0,0,137.51,790.37,1,2
20,sybil_3,198.4,808.08,6.4092,-3.3171,180.0,B5B4,0,57.98,595.74,1,3
21,legit_0,601.6,424.71,9.5844,2.1925,0.0,D2D3,0,161.89,473.58,0,-1
21,legit_1,572.44,598.4,13.0655,-0.5744,90.0,C3D3,0,122.45,451.2,0,-1
21,legit_2,601.6,891.87,13.0444,0.4148,0.0,D4D5,0,157.21,513.37,0,-1
21,legit_3,798.4,778.29,5.3114,2.545,180.0,E4E3,1,78.42,501.64,0,-1
21,sybil_0,871.1,801.6,18.8573,9.2697,270.0,F4E4,1,127.05,533.41,1,0
21,sybil_2,972.27,1.6,8.8983,6.7695,270.0,F0E0,0,141.64,786.98,1,2
21,sybil_3,197.08,803.13,1.6223,-4.7869,195.68,:B4_0,0,59.8,595.17,1,3
22,legit_0,601.6,435.74,11.0353,1.4509,0.0,D2D3,0,166.61,470.86,0,-1
22,legit_1,583.39,598.4,10.9435,-2.122,90.0,C3D3,0,133.4,450.93,0,-1
22,legit_2,601.6,905.29,13.4189,0.3745,0.0,D4D5,0,162.13,519.24,0,-1
22,legit_3,798.4,770.56,7.7377,2.4262,180.0,E4E3,1,84.65,499.81,0,-1
22,sybil_0,857.92,801.6,21.4895,2.6322,270.0,F4E4,1,114.54,528.28,1,0
22,sybil_2,962.81,1.6,4.0896,-4.8087,270.0,F0E0,0,147.04,782.96,1,2
22,sybil_3,192.39,801.6,7.2713,5.649,252.51,B4A4,0,57.2,597.32,1,3
23,legit_0,601.6,448.2,12.4524,1.417,0.0,D2D3,0,172.63,468.0,0,-1
23,legit_1,590.03,598.4,6.6435,-4.3,90.0,C3D3,0,140.04,450.83,0,-1
23,legit_2,601.6,917.9,12.6092,-0.8097,0.0,D4D5,0,167.6,524.98,0,-1
23,legit_3,798.4,761.13,9.4242,1.6865,180.0,E4E3,1,92.53,497.68,0,-1
23,sybil_0,844.27,801.6,7.3499,-14.1396,270.0,F4E4,1,101.79,523.18,1,0
23,sybil_2,951.7,1.6,13.6651,9.5755,270.0,F0E0,0,153.89,778.35,1,2
23,sybil_3,184.85,801.6,21.8757,14.6045,270.0,B4A4,0,51.85,601.47,1,3
24,legit_0,601.6,462.06,13.8614,1.409,0.0,D2D3,1,180.11,465.07,0,-1
