step,vehicle_id,x,y,speed,accel,angle,edge_id,n_neighbors,min_rsu_dist,mean_rsu_dist,is_sybil,attacker_id
0,legit_0,787.7,601.6,0.0,0.0,270.0,E3D3,0,37.73,474.54,0,-1
1,legit_0,785.97,601.6,1.7275,1.7275,270.0,E3D3,0,36.01,474.0,0,-1
2,legit_0,782.74,601.6,3.2319,1.5044,270.0,E3D3,1,32.78,473.0,0,-1
2,sybil_4,801.6,608.3,5.3812,0.0,0.0,E3E4,1,52.26,479.08,1,4
3,legit_0,776.92,601.6,5.8221,2.5902,270.0,E3D3,1,26.97,471.22,0,-1
3,sybil_4,801.6,610.77,6.5731,1.1919,0.0,E3E4,1,52.71,479.13,1,4
4,legit_0,768.7,601.6,8.2186,2.3965,270.0,E3D3,1,18.77,468.78,0,-1
4,sybil_4,801.6,614.75,12.4528,5.8797,0.0,E3E4,1,53.67,479.23,1,4
5,legit_0,758.19,601.6,10.5081,2.2895,270.0,E3D3,2,8.35,465.77,0,-1
5,sybil_4,801.6,620.8,2.3402,-10.1126,0.0,E3E4,2,55.63,479.44,1,4
5,sybil_5,801.6,611.7,0.0,0.0,0.0,E3E4,2,52.91,479.15,1,5
6,legit_0,745.27,601.6,12.9264,2.4183,270.0,E3D3,2,5.0,462.72,0,-1
6,legit_1,-1.6,787.7,0.0,0.0,180.0,A4A3,0,160.37,728.86,0,-1
6,sybil_4,801.6,628.8,0.0,-2.3402,0.0,E3E4,2,59.09,479.82,1,4
6,sybil_5,801.6,613.74,0.0,0.0,0.0,E3E4,2,53.4,479.2,1,5
7,legit_0,731.93,601.6,13.3319,0.4055,270.0,E3D3,2,18.14,460.61,0,-1
7,legit_1,-1.6,786.34,1.3556,1.3556,180.0,A4A3,0,160.82,728.56,0,-1
7,sybil_4,801.6,638.49,14.6694,14.6694,0.0,E3E4,2,64.38,480.43,1,4
7,sybil_5,801.6,618.04,0.733,0.733,0.0,E3E4,2,54.66,479.34,1,5
8,legit_0,718.68,601.6,13.2522,-0.0797,270.0,E3D3,3,31.36,458.72,0,-1
8,legit_1,-1.6,783.48,2.8619,1.5063,180.0,A4A3,0,161.79,727.93,0,-1
8,sybil_4,801.6,649.6,5.264,-9.4054,0.0,E3E4,2,71.57,481.31,1,4
8,sybil_5,801.6,624.6,5.4592,4.7262,0.0,E3E4,2,57.16,479.61,1,5
8,sybil_8,607.7,598.4,0.0,0.0,90.0,D3E3,1,142.31,450.81,1,8
9,legit_0,705.36,601.6,13.325,0.0728,270.0,E3D3,3,44.67,457.03,0,-1
9,legit_1,-1.6,779.16,4.3199,1.4581,180.0,A4A3,0,163.35,727.0,0,-1
9,sybil_4,801.6,661.63,29.4194,24.1554,0.0,E3E4,2,80.38,482.45,1,4
9,sybil_5,801.6,633.66,10.104,4.6447,0.0,E3E4,2,61.61,480.11,1,5
9,sybil_8,610.02,598.4,8.684,8.684,90.0,D3E3,1,139.99,450.83,1,8
10,legit_0,692.21,601.6,13.1439,-0.181,270.0,E3D3,3,57.81,455.56,0,-1
10,legit_1,-1.6,772.29,6.871,2.551,180.0,A4A3,0,166.03,725.56,0,-1
10,sybil_4,801.6,674.15,17.7706,-11.6488,0.0,E3E4,2,90.34,483.85,1,4
10,sybil_5,801.6,645.27,3.368,-6.736,0.0,E3E4,2,68.64,480.95,1,5
10,sybil_8,614.81,598.4,5.0135,-3.6704,90.0,D3E3,1,135.2,450.9,1,8
11,legit_0,678.95,601.6,13.2613,0.1174,270.0,E3D3,4,71.07,454.28,0,-1
11,legit_1,-1.6,763.36,8.9284,2.0574,180.0,A4A3,0,169.87,723.78,0,-1
11,sybil_4,801.6,686.21,6.5093,-11.2612,0.0,E3E4,2,100.48,485.38,1,4
11,sybil_5,801.6,658.77,23.5925,20.2245,0.0,E3E4,2,78.21,482.16,1,5
11,sybil_8,621.32,598.4,7.205,2.1915,90.0,D3E3,2,128.69,451.03,1,8
11,sybil_9,608.1,598.4,5.7695,0.0,90.0,D3E3,2,141.91,450.81,1,9
12,legit_0,665.88,601.6,13.0717,-0.1896,270.0,E3D3,2,84.14,453.21,0,-1
12,legit_1,-1.6,752.02,11.3438,2.4154,180.0,A4A3,0,175.28,721.65,0,-1
12,legit_2,412.3,798.4,0.0,0.0,90.0,C4D4,0,56.14,503.55,0,-1
12,sybil_4,801.6,698.54,22.8716,16.3623,0.0,E3E4,1,111.23,487.12,1,4
12,sybil_5,801.6,671.74,16.0693,-7.5232,0.0,E3E4,1,88.37,483.57,1,5
12,sybil_8,629.62,598.4,18.0144,10.8094,90.0,D3E3,2,120.39,451.27,1,8
12,sybil_9,609.79,598.4,0.0,-5.7695,90.0,D3E3,2,140.22,450.83,1,9
13,legit_0,652.26,601.6,13.6165,0.5448,270.0,E3D3,2,97.75,452.31,0,-1
13,legit_1,-1.6,738.24,13.7792,2.4355,180.0,A4A3,0,182.59,719.26,0,-1
13,legit_2,413.74,798.4,1.4417,1.4417,90.0,C4D4,0,55.18,503.13,0,-1
13,sybil_4,801.6,710.49,19.627,-3.2446,0.0,E3E4,1,121.95,488.97,1,4
13,sybil_5,801.6,684.76,16.496,0.4267,0.0,E3E4,1,99.23,485.18,1,5
13,sybil_8,640.19,598.4,0.0,-18.0144,90.0,D3E3,2,109.82,451.68,1,8
13,sybil_9,612.96,598.4,0.0,0.0,90.0,D3E3,2,137.05,450.87,1,9
14,legit_0,639.0,601.6,13.2642,-0.3523,270.0,E3D3,2,111.01,451.63,0,-1
14,legit_1,-1.6,724.52,13.718,-0.0612,180.0,A4A3,0,190.57,717.1,0,-1
14,legit_2,416.86,798.4,3.1154,1.6738,90.0,C4D4,0,53.19,502.23,0,-1
14,sybil_4,801.6,722.54,5.7224,-13.9046,0.0,E3E4,1,128.29,491.01,1,4
14,sybil_5,801.6,698.62,10.2106,-6.2854,0.0,E3E4,1,111.31,487.13,1,5
14,sybil_8,652.98,598.4,18.1423,18.1423,90.0,D3E3,2,97.03,452.35,1,8
14,sybil_9,617.61,598.4,23.1192,23.1192,90.0,D3E3,2,132.4,450.95,1,9
15,legit_0,625.42,601.6,13.5763,0.3121,270.0,E3D3,2,124.59,451.14,0,-1
15,legit_1,-1.6,711.73,12.7934,-0.9247,180.0,A4A3,0,188.32,715.28,0,-1
15,legit_2,422.51,798.4,5.6563,2.5409,90.0,C4D4,0,49.86,500.65,0,-1
15,sybil_4,801.6,735.16,16.5769,10.8545,0.0,E3E4,1,116.85,493.32,1,4
15,sybil_5,801.6,711.84,16.3531,6.1425,0.0,E3E4,1,123.17,489.19,1,5
15,sybil_8,666.46,598.4,3.7787,-14.3635,90.0,D3E3,2,83.55,453.25,1,8
15,sybil_9,624.78,598.4,5.5508,-17.5685,90.0,D3E3,2,125.23,451.12,1,9
16,legit_0,615.08,601.6,10.3442,-3.2321,270.0,E3D3,2,134.93,450.9,0,-1
16,legit_1,-1.6,698.38,13.3479,0.5546,180.0,A4A3,0,180.72,713.58,0,-1
16,legit_2,430.13,798.4,7.6174,1.9611,90.0,C4D4,0,46.1,498.61,0,-1
16,sybil_4,801.6,747.15,11.1222,-5.4547,0.0,E3E4,1,106.22,495.69,1,4
16,sybil_5,801.6,724.91,13.7766,-2.5766,0.0,E3E4,1,126.12,491.43,1,5
16,sybil_8,679.55,598.4,14.1288,10.35,90.0,D3E3,2,70.47,454.33,1,8
16,sybil_9,633.51,598.4,14.672,9.1212,90.0,D3E3,2,116.5,451.4,1,9
17,legit_0,609.23,601.6,5.8442,-4.5,270.0,E3D3,2,140.78,450.82,0,-1
17,legit_1,-1.6,684.92,13.4605,0.1126,180.0,A4A3,0,173.76,712.08,0,-1
17,legit_2,439.58,798.4,9.4505,1.8331,90.0,C4D4,0,42.88,496.24,0,-1
17,sybil_4,801.6,759.89,16.5759,5.4537,0.0,E3E4,1,95.29,498.38,1,4
17,sybil_5,801.6,736.52,0.0,-13.7766,0.0,E3E4,1,115.63,493.58,1,5
17,sybil_8,692.3,598.4,15.3497,1.221,90.0,D3E3,2,57.72,455.57,1,8
17,sybil_9,644.77,598.4,10.0017,-4.6702,90.0,D3E3,2,105.24,451.9,1,9
18,legit_0,602.93,603.11,6.6792,0.835,288.11,:D3_4,2,147.1,450.78,0,-1
18,legit_1,-1.6,671.07,13.8516,0.391,180.0,A4A3,0,167.43,710.76,0,-1
18,legit_2,451.58,798.4,11.9938,2.5433,90.0,C4D4,0,41.63,493.53,0,-1
18,legit_3,1001.6,812.3,0.0,0.0,0.0,F4F5,0,55.77,596.87,0,-1
18,sybil_4,801.6,772.85,15.5091,-1.0668,0.0,E3E4,1,84.69,501.32,1,4
18,sybil_5,801.6,750.23,22.4137,22.4137,0.0,E3E4,1,103.54,496.32,1,5
18,sybil_6,410.2,398.4,0.0,0.0,90.0,C2D2,0,55.3,505.02,1,6
18,sybil_8,705.33,598.4,8.3131,-7.0366,90.0,D3E3,2,44.7,457.02,1,8
18,sybil_9,656.27,598.4,22.9924,12.9906,90.0,D3E3,2,93.74,452.55,1,9
19,legit_0,601.6,608.87,6.0545,-0.6247,350.75,D3D4,2,148.66,450.84,0,-1
19,legit_1,-1.6,658.01,13.0588,-0.7928,180.0,A4A3,0,162.32,709.72,0,-1
19,legit_2,464.5,798.4,12.9238,0.93,90.0,C4D4,0,44.05,490.98,0,-1
19,legit_3,1001.6,813.85,1.5497,1.5497,0.0,F4F5,0,55.01,597.29,0,-1
19,sybil_4,801.6,785.75,24.7629,9.2539,0.0,E3E4,1,74.87,504.46,1,4
19,sybil_5,801.6,763.31,11.0257,-11.3879,0.0,E3E4,1,92.43,499.14,1,5
19,sybil_6,412.33,398.4,1.8728,1.8728,90.0,C2D2,0,53.8,504.4,1,6
19,sybil_8,718.39,598.4,11.6335,3.3204,90.0,D3E3,2,31.65,458.68,1,8
19,sybil_9,666.75,598.4,2.0514,-20.941,90.0,D3E3,2,83.26,453.28,1,9
20,legit_0,601.6,616.3,7.4321,1.3775,0.0,D3D4,2,149.29,450.98,0,-1
20,legit_1,-1.6,644.45,13.5625,0.5037,180.0,A4A3,0,157.98,708.86,0,-1
20,legit_2,478.07,798.4,13.5682,0.6445,90.0,C4D4,0,50.18,488.68,0,-1
20,legit_3,1001.6,817.04,3.1938,1.6441,0.0,F4F5,0,53.57,598.17,0,-1
20,sybil_4,801.6,798.23,19.8492,-4.9137,0.0,:E4_9,1,66.39,507.71,1,4
20,sybil_5,801.6,776.76,0.0,-11.0257,0.0,E3E4,1,81.62,502.25,1,5
20,sybil_6,416.22,398.4,1.7537,-0.1191,90.0,C2D2,0,51.15,503.27,1,6
20,sybil_8,731.64,598.4,17.1446,5.5111,90.0,D3E3,2,18.43,460.57,1,8
20,sybil_9,677.0,598.4,2.0126,-0.0387,90.0,D3E3,2,73.02,454.11,1,9
21,legit_0,601.6,626.25,9.9508,2.5187,0.0,D3D4,2,150.7,451.31,0,-1
21,legit_1,-1.6,631.08,13.3702,-0.1922,180.0,A4A3,0,154.75,708.23,0,-1
21,legit_2,491.25,798.4,13.1811,-0.3871,90.0,C4D4,0,58.58,486.77,0,-1
21,legit_3,1001.6,822.11,5.0633,1.8695,0.0,F4F5,0,51.6,599.6,0,-1
21,sybil_4,801.6,810.91,2.1257,-17.7235,0.0,E4E5,1,59.23,511.25,1,4
21,sybil_5,801.6,788.7,2.1127,2.1127,0.0,E3E4,1,72.76,505.21,1,5
21,sybil_6,422.44,398.4,11.1572,9.4035,90.0,C2D2,1,47.27,501.51,1,6
21,sybil_7,411.5,398.4,7.8864,0.0,90.0,C2D2,1,54.38,504.64,1,7
21,sybil_8,745.51,598.4,28.4366,11.292,90.0,D3E3,2,4.76,462.76,1,8
21,sybil_9,687.74,598.4,16.6717,14.659,90.0,D3E3,2,62.28,455.1,1,9
22,legit_0,601.6,638.55,12.2996,2.3488,0.0,D3D4,1,153.33,451.93,0,-1
22,legit_1,-1.6,618.35,12.7233,-0.647,180.0,A4A3,0,152.71,707.84,0,-1
22,legit_2,504.17,798.4,12.9213,-0.2598,90.0,C4D4,0,68.3,485.17,0,-1
22,legit_3,1001.6,828.68,6.5768,1.5135,0.0,F4F5,0,49.71,601.53,0,-1
22,sybil_4,801.6,823.9,25.2903,23.1646,0.0,E4E5,1,54.05,515.15,1,4
22,sybil_5,801.6,801.04,19.5271,17.4145,0.0,:E4_9,1,64.66,508.48,1,5
