step,vehicle_id,x,y,speed,accel,angle,edge_id,n_neighbors,min_rsu_dist,mean_rsu_dist,is_sybil,attacker_id
0,legit_0,1.6,412.3,0.0,0.0,0.0,A2A3,0,157.35,726.33,0,-1
1,legit_0,1.6,414.31,2.015,2.015,0.0,A2A3,0,158.03,725.88,0,-1
2,legit_0,1.6,418.15,3.8379,1.8229,0.0,A2A3,0,159.39,725.04,0,-1
3,legit_0,1.6,423.52,5.3704,1.5325,0.0,A2A3,0,161.42,723.89,0,-1
4,legit_0,1.6,431.32,7.795,2.4247,0.0,A2A3,0,164.65,722.29,0,-1
5,legit_0,1.6,440.56,9.2399,1.4448,0.0,A2A3,0,168.86,720.48,0,-1
5,sybil_2,210.7,-1.6,3.0444,0.0,90.0,B0C0,0,135.91,796.85,1,2
6,legit_0,1.6,451.56,11.0041,1.7642,0.0,A2A3,0,174.37,718.46,0,-1
6,legit_1,412.3,398.4,0.0,0.0,90.0,C2D2,0,53.81,504.4,0,-1
6,sybil_2,213.09,-1.6,10.5916,7.5472,90.0,B0C0,0,136.99,795.78,1,2
7,legit_0,1.6,464.0,12.4336,1.4295,0.0,A2A3,0,181.21,716.34,0,-1
7,legit_1,414.43,398.4,2.1255,2.1255,90.0,C2D2,0,52.35,503.78,0,-1
7,sybil_2,216.82,-1.6,1.9811,-8.6105,90.0,B0C0,0,138.75,794.13,1,2
8,legit_0,1.6,477.21,13.2147,0.7811,0.0,A2A3,0,189.11,714.28,0,-1
8,legit_1,418.32,398.4,3.8917,1.7662,90.0,C2D2,0,49.78,502.67,0,-1
8,sybil_2,222.34,-1.6,0.3378,-1.6434,90.0,B0C0,1,141.49,791.71,1,2
8,sybil_3,209.6,-1.6,3.92,0.0,90.0,B0C0,1,135.42,797.34,1,3
9,legit_0,1.6,490.65,13.4419,0.2271,0.0,A2A3,0,184.34,712.4,0,-1
9,legit_1,424.54,398.4,6.2248,2.333,90.0,C2D2,0,46.07,500.94,0,-1
9,sybil_2,229.95,-1.6,3.0209,2.6831,90.0,B0C0,1,145.53,788.42,1,2
9,sybil_3,211.11,-1.6,6.7644,2.8444,90.0,B0C0,1,136.09,796.66,1,3
10,legit_0,1.6,503.47,12.8178,-0.6241,0.0,A2A3,0,177.03,710.8,0,-1
10,legit_1,433.34,398.4,8.7986,2.5739,90.0,C2D2,0,41.86,498.62,0,-1
10,sybil_2,240.12,-1.6,17.0478,14.027,90.0,B0C0,1,151.35,784.13,1,2
10,sybil_3,213.94,-1.6,0.0,-6.7644,90.0,B0C0,1,137.38,795.4,1,3
11,legit_0,1.6,516.23,12.7634,-0.0544,0.0,A2A3,0,170.41,709.39,0,-1
11,legit_1,443.96,398.4,10.6201,1.8214,90.0,C2D2,0,38.87,496.04,0,-1
11,sybil_2,252.74,-1.6,23.3267,6.2789,90.0,B0C0,1,159.19,778.96,1,2
11,sybil_3,218.65,-1.6,23.8848,23.8848,90.0,B0C0,1,139.64,793.32,1,3
12,legit_0,1.6,529.81,13.5792,0.8159,0.0,A2A3,0,164.16,708.11,0,-1
12,legit_1,456.78,398.4,12.8202,2.2001,90.0,C2D2,0,38.99,493.28,0,-1
12,legit_2,1001.6,212.3,0.0,0.0,0.0,F1F2,0,104.22,667.46,0,-1
12,sybil_2,264.9,-1.6,5.0538,-18.2729,90.0,B0C0,1,167.3,774.13,1,2
12,sybil_3,225.54,-1.6,3.9655,-19.9193,90.0,B0C0,1,143.15,790.32,1,3
13,legit_0,1.6,543.13,13.3197,-0.2595,0.0,A2A3,0,158.92,707.06,0,-1
13,legit_1,469.74,398.4,12.9586,0.1384,90.0,C2D2,0,43.18,490.89,0,-1
13,legit_2,1001.6,214.88,2.5815,2.5815,0.0,F1F2,0,106.51,666.18,0,-1
13,sybil_2,277.33,-1.6,3.6454,-1.4084,90.0,B0C0,1,176.07,769.35,1,2
13,sybil_3,233.86,-1.6,16.6484,12.6829,90.0,B0C0,1,147.72,786.76,1,3
14,legit_0,1.6,556.74,13.6101,0.2904,0.0,A2A3,0,154.58,706.22,0,-1
14,legit_1,482.41,398.4,12.6668,-0.2917,90.0,C2D2,0,50.25,488.88,0,-1
14,legit_2,1001.6,219.99,5.1113,2.5299,0.0,F1F2,0,111.09,663.65,0,-1
14,sybil_2,290.33,-1.6,7.4253,3.7799,90.0,B0C0,1,185.69,764.52,1,2
14,sybil_3,244.18,-1.6,14.0911,-2.5572,90.0,B0C0,1,153.8,782.45,1,3
15,legit_0,1.6,569.36,12.6183,-0.9918,0.0,A2A3,0,151.53,705.63,0,-1
15,legit_1,496.3,398.4,13.8897,1.2229,90.0,C2D2,0,60.15,486.99,0,-1
15,legit_2,1001.6,227.62,7.6242,2.5129,0.0,F1F2,0,118.0,659.92,0,-1
15,sybil_2,302.73,-1.6,16.6609,9.2356,90.0,B0C0,1,190.98,760.07,1,2
15,sybil_3,257.04,-1.6,14.0606,-0.0305,90.0,B0C0,1,162.0,777.23,1,3
16,legit_0,1.6,582.43,13.0683,0.45,0.0,A2A3,0,149.44,705.24,0,-1
16,legit_1,509.25,398.4,12.953,-0.9367,90.0,C2D2,0,70.6,485.5,0,-1
16,legit_2,1001.6,237.82,10.2013,2.5771,0.0,F1F2,0,127.37,655.02,0,-1
16,sybil_2,314.63,-1.6,10.7864,-5.8744,90.0,B0C0,1,181.97,755.95,1,2
16,sybil_3,270.85,-1.6,8.8916,-5.1689,90.0,B0C0,1,171.44,771.82,1,3
17,legit_0,1.6,592.1,9.6734,-3.3948,0.0,A2A3,0,148.61,705.09,0,-1
17,legit_1,522.52,398.4,13.2737,0.3207,90.0,C2D2,0,82.06,484.19,0,-1
17,legit_2,1001.6,250.25,12.4364,2.2351,0.0,F1F2,0,119.94,649.18,0,-1
17,sybil_2,327.06,-1.6,6.509,-4.2775,90.0,B0C0,1,172.92,751.8,1,2
17,sybil_3,284.42,-1.6,14.023,5.1314,90.0,B0C0,1,181.26,766.69,1,3
18,legit_0,3.58,597.35,5.892,-3.7815,24.17,:A3_6,0,146.44,703.45,0,-1
18,legit_1,536.01,398.4,13.4825,0.2088,90.0,C2D2,0,94.19,483.09,0,-1
18,legit_2,1001.6,263.08,12.8221,0.3857,0.0,F1F2,0,108.34,643.31,0,-1
18,legit_3,598.4,187.7,0.0,0.0,180.0,D1D0,0,163.11,574.5,0,-1
18,sybil_2,339.95,-1.6,17.4082,10.8993,90.0,B0C0,1,164.01,747.67,1,2
18,sybil_3,298.11,-1.6,13.2608,-0.7622,90.0,B0C0,1,191.63,761.71,1,3
19,legit_0,9.21,598.4,5.8431,-0.0489,82.83,A3B3,0,140.8,698.93,0,-1
19,legit_1,549.57,398.4,13.5674,0.0849,90.0,C2D2,0,106.72,482.21,0,-1
19,legit_2,1001.6,276.03,12.952,0.1299,0.0,F1F2,0,96.92,637.54,0,-1
19,legit_3,598.4,185.58,2.1198,2.1198,180.0,D1D0,0,162.24,575.74,0,-1
19,sybil_2,352.43,-1.6,20.8444,3.4361,90.0,B0C0,1,155.9,743.85,1,2
19,sybil_3,310.95,-1.6,28.8859,15.6251,90.0,B0C0,1,184.72,757.21,1,3
20,legit_0,17.37,598.4,8.1645,2.3215,90.0,A3B3,0,132.64,692.41,0,-1
20,legit_1,562.79,398.4,13.2161,-0.3513,90.0,C2D2,0,119.15,481.56,0,-1
20,legit_2,1001.6,288.9,12.8709,-0.0811,0.0,F1F2,0,86.01,631.97,0,-1
20,legit_3,598.4,181.03,4.5516,2.4318,180.0,D1D0,0,160.46,578.42,0,-1
20,sybil_2,364.81,-1.6,30.2373,9.3929,90.0,B0C0,1,148.47,740.22,1,2
20,sybil_3,323.59,-1.6,4.7251,-24.1608,90.0,B0C0,1,175.41,752.95,1,3
20,sybil_4,992.7,801.6,5.7178,0.0,282.52,F4E4,0,68.98,589.34,1,4
21,legit_0,28.0,598.4,10.6275,2.463,90.0,A3B3,0,122.01,683.99,0,-1
21,legit_1,575.91,398.4,13.1235,-0.0926,90.0,C2D2,0,131.64,481.1,0,-1
21,legit_2,1001.6,302.4,13.5045,0.6336,0.0,F1F2,0,75.23,626.33,0,-1
21,legit_3,598.4,174.65,6.3777,1.8261,180.0,D1D0,0,158.14,582.23,0,-1
21,sybil_2,376.83,-1.6,9.8487,-20.3885,90.0,B0C0,1,141.92,736.86,1,2
21,sybil_3,336.45,-1.6,3.2859,-1.4392,90.0,B0C0,1,166.37,748.78,1,3
21,sybil_4,990.72,801.6,0.0,-5.7178,274.75,F4E4,0,70.63,588.3,1,4
22,legit_0,40.35,598.4,12.354,1.7265,90.0,A3B3,0,109.66,674.29,0,-1
22,legit_1,585.97,398.4,10.0534,-3.0701,90.0,C2D2,0,141.28,480.89,0,-1
22,legit_2,1001.6,316.12,13.713,0.2085,0.0,F1F2,0,65.33,620.81,0,-1
22,legit_3,598.4,166.16,8.4879,2.1102,180.0,D1D0,0,155.41,587.38,0,-1
22,sybil_2,386.88,-1.6,1.7745,-8.0743,90.0,B0C0,1,137.01,734.18,1,2
22,sybil_3,350.33,-1.6,10.26,6.9741,90.0,B0C0,1,157.23,744.48,1,3
22,sybil_4,987.05,801.6,0.0,0.0,270.0,F4E4,0,73.73,586.39,1,4
23,legit_0,53.44,598.4,13.0826,0.7286,90.0,A3B3,0,96.58,664.15,0,-1
23,legit_1,591.52,398.4,5.5534,-4.5,90.0,C2D2,0,146.64,480.82,0,-1
23,legit_2,1001.6,329.23,13.1158,-0.5973,0.0,F1F2,0,57.35,615.77,0,-1
23,legit_3,598.4,155.2,10.959,2.4711,180.0,D1D0,0,152.52,594.17,0,-1
23,sybil_2,393.91,-1.44,9.7103,7.9358,88.19,:C0_7,1,133.77,732.25,1,2
23,sybil_3,363.1,-1.6,1.5443,-8.7157,90.0,B0C0,1,149.46,740.71,1,3
23,sybil_4,982.06,801.6,3.9789,3.9789,270.0,F4E4,1,78.04,583.81,1,4
23,sybil_5,989.6,801.6,0.0,0.0,272.92,F4E4,1,71.57,587.71,1,5
24,legit_0,66.41,598.4,12.9768,-0.1058,90.0,A3B3,0,83.6,654.22,0,-1
24,legit_1,594.27,399.73,3.3144,-2.239,73.29,:D2_15,0,149.64,480.41,0,-1
24,legit_2,1001.6,342.67,13.4372,0.3215,0.0,F1F2,0,51.41,610.87,0,-1
24,legit_3,598.4,143.75,11.4508,0.4918,180.0,D1D0,0,150.29,601.42,0,-1
24,legit_4,798.4,987.7,0.0,0.0,180.0,E5E4,0,104.22,586.23,0,-1
24,sybil_2,399.66,1.03,2.3376,-7.3727,62.15,:C0_10,1,129.18,728.87,1,2
24,sybil_3,376.0,-1.6,4.4443,2.8999,90.0,B0C0,1,142.35,737.09,1,3
24,sybil_4,974.55,801.6,7.7594,3.7805,270.0,F4E4,1,84.66,579.98,1,4
24,sybil_5,989.17,801.6,4.3558,4.3558,272.23,F4E4,1,71.93,587.49,1,5
25,legit_0,79.97,598.4,13.558,0.5812,90.0,A3B3,0,70.05,643.98,0,-1
25,legit_1,592.19,401.6,3.2434,-0.071,344.62,D2C2,0,148.15,479.88,0,-1
25,legit_2,1001.6,355.39,12.715,-0.7223,0.0,F1F2,0,48.62,606.53,0,-1
25,legit_3,598.4,133.08,10.6695,-0.7813,180.0,D1D0,0,148.98,608.34,0,-1
25,legit_4,798.4,985.99,1.7141,1.7141,180.0,E5E4,0,105.74,585.32,0,-1
25,sybil_2,401.6,7.39,0.0,-2.3376,11.96,C0C1,1,122.57,723.39,1,2
25,sybil_3,385.77,-1.6,2.0079,-2.4363,90.0,B0C0,1,137.52,734.47,1,3
25,sybil_4,965.53,801.6,18.7113,10.9518,270.0,F4E4,1,92.79,575.47,1,4
25,sybil_5,986.89,801.6,2.7838,-1.5721,270.0,F4E4,1,73.88,586.3,1,5
26,legit_0,92.74,598.4,12.7729,-0.785,90.0,A3B3,0,57.28,634.47,0,-1
26,legit_1,587.55,401.6,4.6431,1.3997,270.0,D2C2,0,143.7,479.93,0,-1
26,legit_2,1001.6,368.21,12.8288,0.1138,0.0,F1F2,0,49.09,602.46,0,-1
26,legit_3,598.4,121.67,11.4139,0.7444,180.0,D1D0,0,148.41,615.91,0,-1
26,legit_4,798.4,981.75,4.2363,2.5222,180.0,E5E4,0,109.52,583.06,0,-1
26,sybil_2,401.6,15.56,10.1607,10.1607,0.0,C0C1,1,115.11,717.0,1,2
26,sybil_3,393.15,-1.55,13.9869,11.9789,89.42,:C0_7,1,134.19,732.53,1,3
