step,vehicle_id,x,y,speed,accel,angle,edge_id,n_neighbors,min_rsu_dist,mean_rsu_dist,is_sybil,attacker_id
0,legit_0,787.7,401.6,0.0,0.0,270.0,E2D2,0,56.14,503.55,0,-1
0,sybil_5,791.2,1001.6,0.0,0.0,270.0,E5D5,0,88.57,591.8,1,2
1,legit_0,785.52,401.6,2.1817,2.1817,270.0,E2D2,0,54.7,502.91,0,-1
1,sybil_5,789.88,1001.6,0.0,0.0,270.0,E5D5,0,87.96,591.45,1,2
2,legit_0,780.9,401.6,4.6221,2.4405,270.0,E2D2,0,51.82,501.6,0,-1
2,sybil_5,786.68,1001.6,0.0,0.0,270.0,E5D5,0,86.56,590.6,1,2
3,legit_0,774.1,401.6,6.7966,2.1745,270.0,E2D2,0,48.08,499.73,0,-1
3,sybil_5,781.46,1001.6,7.2136,7.2136,270.0,E5D5,0,84.48,589.25,1,2
4,legit_0,765.91,401.6,8.1917,1.3951,270.0,E2D2,0,44.54,497.6,0,-1
4,sybil_5,774.56,1001.6,1.2774,-5.9362,270.0,E5D5,1,82.16,587.54,1,2
4,sybil_6,788.6,1001.6,0.0,0.0,270.0,E5D5,1,87.39,591.11,1,3
5,legit_0,756.32,401.6,9.586,1.3944,270.0,E2D2,0,42.08,495.28,0,-1
5,sybil_5,765.37,1001.6,10.613,9.3356,270.0,E5D5,1,79.89,585.37,1,2
5,sybil_6,786.43,1001.6,5.9815,5.9815,270.0,E5D5,1,86.45,590.54,1,3
6,legit_0,744.69,401.6,11.6307,2.0446,270.0,E2D2,0,41.94,492.75,0,-1
6,legit_1,412.3,598.4,0.0,0.0,90.0,C3D3,0,37.73,474.54,0,-1
6,sybil_5,753.69,1001.6,8.7289,-1.8841,270.0,E5D5,2,78.49,582.83,1,2
6,sybil_6,782.53,1001.6,17.8254,11.8439,270.0,E5D5,2,84.88,589.53,1,3
6,sybil_7,782.53,1001.6,5.0815,0.0,270.0,E5D5,2,84.88,589.53,1,3
7,legit_0,731.21,401.6,13.4848,1.8541,270.0,E2D2,0,45.65,490.21,0,-1
7,legit_1,413.62,598.4,1.3189,1.3189,90.0,C3D3,0,36.42,474.13,0,-1
7,sybil_5,741.08,1001.6,15.8699,7.141,270.0,E5D5,2,78.91,580.34,1,2
7,sybil_6,776.35,1001.6,0.478,-17.3473,270.0,E5D5,2,82.71,587.97,1,3
7,sybil_7,776.35,1001.6,15.5551,10.4736,270.0,E5D5,2,82.71,587.97,1,3
8,legit_0,717.82,401.6,13.3908,-0.094,270.0,E2D2,0,52.6,488.05,0,-1
8,legit_1,417.44,598.4,3.819,2.5001,90.0,C3D3,0,32.6,472.94,0,-1
8,sybil_5,728.07,1001.6,12.5136,-3.3563,270.0,E5D5,2,81.41,578.06,1,2
8,sybil_6,768.44,1001.6,12.9436,12.4656,270.0,E5D5,2,80.54,586.08,1,3
8,sybil_7,768.44,1001.6,4.5653,-10.9897,270.0,E5D5,2,80.54,586.08,1,3
