step,vehicle_id,x,y,speed,accel,angle,edge_id,n_neighbors,min_rsu_dist,mean_rsu_dist,is_sybil,attacker_id
0,legit_0,787.7,601.6,0.0,0.0,270.0,E3D3,0,37.73,474.54,0,-1
0,sybil_6,198.4,389.0,8.133,0.0,180.0,B2B1,0,56.42,596.52,1,2
1,legit_0,785.97,601.6,1.7275,1.7275,270.0,E3D3,0,36.01,474.0,0,-1
1,sybil_6,198.4,387.49,0.0,-8.133,180.0,B2B1,0,55.66,596.93,1,2
2,legit_0,782.74,601.6,3.2319,1.5044,270.0,E3D3,0,32.78,473.0,0,-1
2,sybil_12,1.6,411.1,0.0,0.0,0.0,A2A3,0,156.95,726.6,1,4
2,sybil_6,198.4,383.79,0.0,0.0,180.0,B2B1,0,53.93,597.94,1,2
3,legit_0,776.92,601.6,5.8221,2.5902,270.0,E3D3,0,26.97,471.22,0,-1
3,sybil_12,1.6,413.11,9.3545,9.3545,0.0,A2A3,0,157.62,726.14,1,4
3,sybil_6,198.4,377.64,24.2287,24.2287,180.0,B2B1,1,51.52,599.67,1,2
3,sybil_7,198.4,377.64,8.9315,0.0,180.0,B2B1,1,51.52,599.67,1,2
4,legit_0,768.7,601.6,8.2186,2.3965,270.0,E3D3,0,18.77,468.78,0,-1
4,sybil_12,1.6,416.95,0.4113,-8.9432,0.0,A2A3,1,158.95,725.3,1,4
4,sybil_13,1.6,416.95,8.7509,0.0,0.0,A2A3,1,158.95,725.3,1,4
4,sybil_6,198.4,369.53,0.0,-24.2287,180.0,B2B1,1,49.33,602.06,1,2
4,sybil_7,198.4,369.53,0.0,-8.9315,180.0,B2B1,1,49.33,602.06,1,2
5,legit_0,758.19,601.6,10.5081,2.2895,270.0,E3D3,0,8.35,465.77,0,-1
5,sybil_12,1.6,422.32,6.7742,6.3629,0.0,A2A3,1,160.96,724.15,1,4
5,sybil_13,1.6,422.32,7.8557,-0.8952,0.0,A2A3,1,160.96,724.15,1,4
5,sybil_6,198.4,359.97,25.2757,25.2757,180.0,B2B1,1,48.4,605.04,1,2
5,sybil_7,198.4,359.97,4.4913,4.4913,180.0,B2B1,1,48.4,605.04,1,2
6,legit_0,745.27,601.6,12.9264,2.4183,270.0,E3D3,0,5.0,462.72,0,-1
6,legit_1,-1.6,787.7,0.0,0.0,180.0,A4A3,0,160.37,728.86,0,-1
6,sybil_12,1.6,429.14,7.8382,1.064,0.0,A2A3,1,163.72,722.73,1,4
6,sybil_13,1.6,429.14,6.6609,-1.1948,0.0,A2A3,1,163.72,722.73,1,4
6,sybil_6,198.4,348.18,5.968,-19.3077,180.0,B2B1,2,49.82,608.95,1,2
6,sybil_7,198.4,348.18,5.8547,1.3634,180.0,B2B1,2,49.82,608.95,1,2
6,sybil_8,198.4,348.18,0.0,0.0,180.0,B2B1,2,49.82,608.95,1,2
7,legit_0,731.93,601.6,13.3319,0.4055,270.0,E3D3,0,18.14,460.61,0,-1
7,legit_1,-1.6,786.34,1.3556,1.3556,180.0,A4A3,0,160.82,728.56,0,-1
7,sybil_12,1.6,437.38,5.6007,-2.2375,0.0,A2A3,2,167.36,721.09,1,4
7,sybil_13,1.6,437.38,0.0,-6.6609,0.0,A2A3,2,167.36,721.09,1,4
7,sybil_14,1.6,437.38,0.0,0.0,0.0,A2A3,2,167.36,721.09,1,4
7,sybil_6,198.4,335.51,6.8202,0.8522,180.0,B2B1,2,54.24,613.44,1,2
7,sybil_7,198.4,335.51,7.4309,1.5762,180.0,B2B1,2,54.24,613.44,1,2
7,sybil_8,198.4,335.51,0.0,0.0,180.0,B2B1,2,54.24,613.44,1,2
8,legit_0,718.68,601.6,13.2522,-0.0797,270.0,E3D3,0,31.36,458.72,0,-1
8,legit_1,-1.6,783.48,2.8619,1.5063,180.0,A4A3,0,161.79,727.93,0,-1
8,sybil_12,1.6,447.78,11.0402,5.4395,0.0,A2A3,2,172.42,719.14,1,4
8,sybil_13,1.6,447.78,2.2294,2.2294,0.0,A2A3,2,172.42,719.14,1,4
8,sybil_14,1.6,447.78,0.0,0.0,0.0,A2A3,2,172.42,719.14,1,4
8,sybil_6,198.4,322.89,20.5025,13.6823,180.0,B2B1,3,60.99,618.18,1,2
8,sybil_7,198.4,322.89,6.7392,-0.6918,180.0,B2B1,3,60.99,618.18,1,2
8,sybil_8,198.4,322.89,8.4873,8.4873,180.0,B2B1,3,60.99,618.18,1,2
8,sybil_9,198.4,389.0,4.6088,0.0,180.0,B2B1,3,56.42,596.52,1,3
9,legit_0,705.36,601.6,13.325,0.0728,270.0,E3D3,0,44.67,457.03,0,-1
