step,vehicle_id,x,y,speed,accel,angle,edge_id,n_neighbors,min_rsu_dist,mean_rsu_dist,is_sybil,attacker_id
0,legit_0,387.7,1001.6,0.0,0.0,270.0,C5B5,0,100.14,597.8,0,-1
1,legit_0,385.1,1001.6,2.5964,2.5964,270.0,C5B5,0,101.77,598.58,0,-1
2,legit_0,380.31,1001.6,4.7916,2.1952,270.0,C5B5,0,104.9,600.05,0,-1
3,legit_0,373.84,1001.6,6.4741,1.6826,270.0,C5B5,0,109.3,602.07,0,-1
4,legit_0,365.62,1001.6,8.2196,1.7455,270.0,C5B5,0,115.18,604.72,0,-1
5,legit_0,355.69,1001.6,9.9321,1.7125,270.0,C5B5,0,122.64,608.02,0,-1
5,sybil_16,811.6,798.4,7.4372,0.0,90.0,E4F4,0,74.33,510.96,1,8
6,legit_0,344.39,1001.6,11.3009,1.3689,270.0,C5B5,1,131.53,611.92,0,-1
6,legit_1,398.4,987.7,0.0,0.0,180.0,C5C4,1,105.74,587.14,0,-1
6,sybil_16,813.39,798.4,4.2211,-3.2161,90.0,E4F4,0,75.82,511.54,1,8
7,legit_0,330.88,1001.6,13.5005,2.1996,270.0,C5B5,1,142.6,616.76,0,-1
7,legit_1,398.4,985.95,1.7507,1.7507,180.0,C5C4,1,107.28,586.2,0,-1
7,sybil_16,817.28,798.4,7.6372,3.4161,90.0,E4F4,1,79.11,512.84,1,8
7,sybil_17,817.28,798.4,0.0,0.0,90.0,E4F4,1,79.11,512.84,1,8
8,legit_0,318.01,1001.6,12.8789,-0.6216,270.0,C5B5,1,153.52,621.56,0,-1
8,legit_1,398.4,982.29,3.6568,1.9062,180.0,C5C4,1,110.5,584.25,0,-1
8,sybil_16,822.61,798.4,0.0,-7.6372,90.0,E4F4,1,83.68,514.63,1,8
8,sybil_17,822.61,798.4,21.447,21.447,90.0,E4F4,1,83.68,514.63,1,8
9,legit_0,304.22,1001.6,13.7903,0.9114,270.0,C5B5,1,165.53,626.89,0,-1
9,legit_1,398.4,976.55,5.7466,2.0897,180.0,C5C4,1,115.61,581.23,0,-1
9,sybil_16,829.37,798.4,9.5804,9.5804,90.0,E4F4,1,89.61,516.96,1,8
9,sybil_17,829.37,798.4,0.0,-21.447,90.0,E4F4,1,89.61,516.96,1,8
10,legit_0,291.2,1001.6,13.0109,-0.7793,270.0,C5B5,1,161.51,632.1,0,-1
10,legit_1,398.4,969.22,7.3298,1.5832,180.0,C5C4,1,122.21,577.41,0,-1
10,sybil_16,838.63,798.4,8.314,-1.2665,90.0,E4F4,2,97.9,520.24,1,8
10,sybil_17,838.63,798.4,3.7995,3.7995,90.0,E4F4,2,97.9,520.24,1,8
10,sybil_18,808.2,798.4,0.7027,0.0,90.0,E4F4,2,71.54,509.85,1,9
10,sybil_8,801.6,611.0,1.403,0.0,0.0,E3E4,0,52.76,479.13,1,4
