step,vehicle_id,x,y,speed,accel,angle,edge_id,n_neighbors,min_rsu_dist,mean_rsu_dist,is_sybil,attacker_id
0,legit_0,1.6,412.3,0.0,0.0,0.0,A2A3,0,157.35,726.33,0,-1
1,legit_0,1.6,414.31,2.015,2.015,0.0,A2A3,0,158.03,725.88,0,-1
2,legit_0,1.6,418.15,3.8379,1.8229,0.0,A2A3,0,159.39,725.04,0,-1
3,legit_0,1.6,423.52,5.3704,1.5325,0.0,A2A3,0,161.42,723.89,0,-1
4,legit_0,1.6,431.32,7.795,2.4247,0.0,A2A3,0,164.65,722.29,0,-1
5,legit_0,1.6,440.56,9.2399,1.4448,0.0,A2A3,0,168.86,720.48,0,-1
6,legit_0,1.6,451.56,11.0041,1.7642,0.0,A2A3,0,174.37,718.46,0,-1
6,legit_1,412.3,398.4,0.0,0.0,90.0,C2D2,0,53.81,504.4,0,-1
7,legit_0,1.6,464.0,12.4336,1.4295,0.0,A2A3,0,181.21,716.34,0,-1
7,legit_1,414.43,398.4,2.1255,2.1255,90.0,C2D2,0,52.35,503.78,0,-1
8,legit_0,1.6,477.21,13.2147,0.7811,0.0,A2A3,0,189.11,714.28,0,-1
8,legit_1,418.32,398.4,3.8917,1.7662,90.0,C2D2,0,49.78,502.67,0,-1
9,legit_0,1.6,490.65,13.4419,0.2271,0.0,A2A3,0,184.34,712.4,0,-1
9,legit_1,424.54,398.4,6.2248,2.333,90.0,C2D2,0,46.07,500.94,0,-1
10,legit_0,1.6,503.47,12.8178,-0.6241,0.0,A2A3,0,177.03,710.8,0,-1
10,legit_1,433.34,398.4,8.7986,2.5739,90.0,C2D2,0,41.86,498.62,0,-1
11,legit_0,1.6,516.23,12.7634,-0.0544,0.0,A2A3,0,170.41,709.39,0,-1
11,legit_1,443.96,398.4,10.6201,1.8214,90.0,C2D2,0,38.87,496.04,0,-1
12,legit_0,1.6,529.81,13.5792,0.8159,0.0,A2A3,0,164.16,708.11,0,-1
12,legit_1,456.59,398.4,12.6332,2.0131,90.0,C2D2,0,38.96,493.32,0,-1
12,legit_2,1001.6,212.3,0.0,0.0,0.0,F1F2,0,104.22,667.46,0,-1
13,legit_0,1.6,543.13,13.3197,-0.2595,0.0,A2A3,0,158.92,707.06,0,-1
13,legit_1,468.7,398.4,12.1016,-0.5315,90.0,C2D2,0,42.71,491.06,0,-1
13,legit_2,1001.6,214.88,2.5815,2.5815,0.0,F1F2,0,106.51,666.18,0,-1
14,legit_0,1.6,556.74,13.6101,0.2904,0.0,A2A3,0,154.58,706.22,0,-1
14,legit_1,480.51,398.4,11.8099,-0.2917,90.0,C2D2,0,49.04,489.16,0,-1
14,legit_2,1001.6,219.99,5.1113,2.5299,0.0,F1F2,0,111.09,663.65,0,-1
15,legit_0,1.6,569.36,12.6183,-0.9918,0.0,A2A3,0,151.53,705.63,0,-1
15,legit_1,493.54,398.4,13.0328,1.2229,90.0,C2D2,0,58.05,487.35,0,-1
15,legit_2,1001.6,227.62,7.6242,2.5129,0.0,F1F2,0,118.0,659.92,0,-1
16,legit_0,1.6,582.43,13.0683,0.45,0.0,A2A3,0,149.44,705.24,0,-1
16,legit_1,505.63,398.4,12.0961,-0.9367,90.0,C2D2,0,67.6,485.89,0,-1
16,legit_2,1001.6,237.82,10.2013,2.5771,0.0,F1F2,0,127.37,655.02,0,-1
17,legit_0,1.6,592.1,9.6734,-3.3948,0.0,A2A3,0,148.61,705.09,0,-1
17,legit_1,518.05,398.4,12.4168,0.3207,90.0,C2D2,0,78.14,484.61,0,-1
17,legit_2,1001.6,250.25,12.4364,2.2351,0.0,F1F2,0,119.94,649.18,0,-1
18,legit_0,3.58,597.35,5.892,-3.7815,24.17,:A3_6,0,146.44,703.45,0,-1
18,legit_1,530.68,398.4,12.6256,0.2088,90.0,C2D2,0,89.35,483.5,0,-1
18,legit_2,1001.6,263.08,12.8221,0.3857,0.0,F1F2,0,108.34,643.31,0,-1
18,legit_3,598.4,187.7,0.0,0.0,180.0,D1D0,0,163.11,574.5,0,-1
19,legit_0,9.21,598.4,5.8431,-0.0489,82.83,A3B3,0,140.8,698.93,0,-1
19,legit_1,543.39,398.4,12.7105,0.0849,90.0,C2D2,0,100.97,482.59,0,-1
19,legit_2,1001.6,276.03,12.952,0.1299,0.0,F1F2,0,96.92,637.54,0,-1
19,legit_3,598.4,185.58,2.1198,2.1198,180.0,D1D0,0,162.24,575.74,0,-1
20,legit_0,17.37,598.4,8.1645,2.3215,90.0,A3B3,0,132.64,692.41,0,-1
20,legit_1,555.75,398.4,12.3592,-0.3513,90.0,C2D2,0,112.5,481.88,0,-1
20,legit_2,1001.6,288.9,12.8709,-0.0811,0.0,F1F2,0,86.01,631.97,0,-1
20,legit_3,598.4,181.03,4.5516,2.4318,180.0,D1D0,0,160.46,578.42,0,-1
21,legit_0,28.0,598.4,10.6275,2.463,90.0,A3B3,0,122.01,683.99,0,-1
21,legit_1,568.01,398.4,12.2666,-0.0926,90.0,C2D2,0,124.1,481.35,0,-1
21,legit_2,1001.6,302.4,13.5045,0.6336,0.0,F1F2,0,75.23,626.33,0,-1
21,legit_3,598.4,174.65,6.3777,1.8261,180.0,D1D0,0,158.14,582.23,0,-1
22,legit_0,40.35,598.4,12.354,1.7265,90.0,A3B3,0,109.66,674.29,0,-1
22,legit_1,580.7,398.4,12.6866,0.42,90.0,C2D2,0,136.22,480.99,0,-1
22,legit_2,1001.6,316.12,13.713,0.2085,0.0,F1F2,0,65.33,620.81,0,-1
22,legit_3,598.4,166.16,8.4879,2.1102,180.0,D1D0,0,155.41,587.38,0,-1
23,legit_0,53.44,598.4,13.0826,0.7286,90.0,A3B3,0,96.58,664.15,0,-1
23,legit_1,588.89,398.4,8.1866,-4.5,90.0,C2D2,0,144.1,480.85,0,-1
23,legit_2,1001.6,329.23,13.1158,-0.5973,0.0,F1F2,0,57.35,615.77,0,-1
23,legit_3,598.4,155.2,10.959,2.4711,180.0,D1D0,0,152.52,594.17,0,-1
24,legit_0,66.41,598.4,12.9768,-0.1058,90.0,A3B3,0,83.6,654.22,0,-1
24,legit_1,592.57,398.4,3.6866,-4.5,90.0,C2D2,0,147.65,480.81,0,-1
24,legit_2,1001.6,342.67,13.4372,0.3215,0.0,F1F2,0,51.41,610.87,0,-1
24,legit_3,598.4,141.74,13.4666,2.5076,180.0,D1D0,0,149.98,602.72,0,-1
24,legit_4,798.4,987.7,0.0,0.0,180.0,E5E4,0,104.22,586.23,0,-1
24,sybil_18,808.1,598.4,3.1708,0.0,90.0,E3F3,0,58.12,481.18,1,6
25,legit_0,79.97,598.4,13.558,0.5812,90.0,A3B3,0,70.05,643.98,0,-1
25,legit_1,594.38,400.03,2.5964,-1.0902,68.86,:D2_15,0,149.83,480.32,0,-1
25,legit_2,1001.6,355.39,12.715,-0.7223,0.0,F1F2,0,48.62,606.53,0,-1
25,legit_3,598.4,128.72,13.0163,-0.4503,180.0,D1D0,0,148.66,611.21,0,-1
25,legit_4,798.4,985.99,1.7141,1.7141,180.0,E5E4,0,105.74,585.32,0,-1
25,sybil_18,810.02,598.4,1.7867,-1.3841,90.0,E3F3,0,60.04,481.83,1,6
26,legit_0,92.74,598.4,12.7729,-0.785,90.0,A3B3,0,57.28,634.47,0,-1
26,legit_1,592.38,401.6,2.7165,0.1201,351.22,D2C2,0,148.34,479.88,0,-1
26,legit_2,1001.6,368.21,12.8288,0.1138,0.0,F1F2,0,49.09,602.46,0,-1
26,legit_3,598.4,114.96,13.7607,0.7444,180.0,D1D0,1,148.49,620.43,0,-1
26,legit_4,798.4,981.75,4.2363,2.5222,180.0,E5E4,0,109.52,583.06,0,-1
26,sybil_18,813.66,598.4,2.659,0.8722,90.0,E3F3,0,63.68,483.07,1,6
26,sybil_6,601.6,211.5,15.5947,0.0,0.0,D1D2,1,174.34,560.95,1,2
27,legit_0,106.25,598.4,13.5052,0.7322,90.0,A3B3,0,43.78,624.57,0,-1
27,legit_1,588.27,401.6,4.1162,1.3997,273.02,D2C2,0,144.39,479.92,0,-1
27,legit_2,1001.6,380.61,12.3976,-0.4312,0.0,F1F2,0,52.61,598.83,0,-1
27,legit_3,598.4,101.81,13.146,-0.6147,180.0,D1D0,1,149.51,629.46,0,-1
27,legit_4,798.4,975.49,6.2604,2.0241,180.0,E5E4,0,115.17,579.77,0,-1
27,sybil_18,819.3,598.4,13.8392,11.1802,90.0,E3F3,1,69.32,485.03,1,6
27,sybil_19,819.3,598.4,0.0,0.0,90.0,E3F3,1,69.32,485.03,1,6
27,sybil_6,601.6,214.01,0.0,-15.5947,0.0,D1D2,1,175.67,559.56,1,2
28,legit_0,119.03,598.4,12.7761,-0.7291,90.0,A3B3,0,31.02,615.36,0,-1
28,legit_1,582.11,401.6,6.1609,2.0447,270.0,D2C2,0,138.5,480.03,0,-1
28,legit_2,1001.6,388.51,7.8976,-4.5,0.0,F1F2,0,56.17,596.65,0,-1
28,legit_3,598.4,88.08,13.7292,0.5832,180.0,D1D0,2,151.79,639.13,0,-1
28,legit_4,798.4,967.93,7.5629,1.3025,180.0,E5E4,0,122.08,575.84,0,-1
28,sybil_18,827.39,598.4,0.0,-13.8392,90.0,E3F3,1,77.41,487.89,1,6
28,sybil_19,827.39,598.4,18.6827,18.6827,90.0,E3F3,1,77.41,487.89,1,6
28,sybil_6,601.6,218.67,2.1111,2.1111,0.0,D1D2,2,178.21,557.01,1,2
28,sybil_7,601.6,218.67,3.644,0.0,0.0,D1D2,2,178.21,557.01,1,2
29,legit_0,132.51,598.4,13.485,0.7089,90.0,A3B3,0,17.56,605.79,0,-1
29,legit_1,574.31,401.6,7.8023,1.6414,270.0,D2C2,0,131.08,480.22,0,-1
29,legit_2,1001.6,392.58,4.0658,-3.8318,0.0,F1F2,0,58.34,595.57,0,-1
29,legit_3,598.4,74.59,13.4957,-0.2335,180.0,D1D0,0,155.19,648.84,0,-1
29,legit_4,798.4,958.77,9.1591,1.5962,180.0,E5E4,0,128.25,571.16,0,-1
29,sybil_18,837.36,598.4,1.1162,1.1162,90.0,E3F3,1,87.37,491.52,1,6
29,sybil_19,837.36,598.4,0.0,-18.6827,90.0,E3F3,1,87.37,491.52,1,6
29,sybil_6,601.6,224.7,16.7681,14.657,0.0,D1D2,1,181.62,553.74,1,2
29,sybil_7,601.6,224.7,12.1546,8.5107,0.0,D1D2,1,181.62,553.74,1,2
30,legit_0,146.31,598.4,13.7987,0.3137,90.0,A3B3,0,4.02,596.19,0,-1
30,legit_1,564.35,401.6,9.9502,2.148,270.0,D2C2,0,121.69,480.57,0,-1
30,legit_2,999.31,394.06,3.3254,-0.7405,324.09,:F2_11,0,61.06,593.97,0,-1
30,legit_3,598.4,60.97,13.6238,0.1281,180.0,D1D0,0,159.71,658.86,0,-1
30,legit_4,798.4,948.28,10.4921,1.333,180.0,E5E4,0,118.6,565.91,0,-1
30,legit_5,412.3,-1.6,0.0,0.0,90.0,C0D0,0,127.31,727.95,0,-1
30,sybil_18,848.19,598.4,2.7633,1.647,90.0,E3F3,2,98.2,495.59,1,6
30,sybil_19,848.19,598.4,14.3996,14.3996,90.0,E3F3,2,98.2,495.59,1,6
30,sybil_20,848.19,598.4,0.0,0.0,90.0,E3F3,2,98.2,495.59,1,6
30,sybil_6,601.6,232.28,0.0,-16.7681,0.0,D1D2,1,186.09,549.7,1,2
30,sybil_7,601.6,232.28,8.4052,-3.7495,0.0,D1D2,1,186.09,549.7,1,2
31,legit_0,159.4,598.4,13.0862,-0.7125,90.0,A3B3,0,9.53,588.16,0,-1
31,legit_1,552.02,401.6,12.3314,2.3812,270.0,D2C2,0,110.18,481.15,0,-1
31,legit_2,998.4,391.9,2.4647,-0.8607,244.67,F2F1,0,60.67,594.05,0,-1
31,legit_3,598.4,47.91,13.0565,-0.5673,180.0,D1D0,0,164.98,668.65,0,-1
31,legit_4,798.4,936.2,12.0768,1.5848,180.0,E5E4,0,107.69,560.0,0,-1
31,legit_5,414.29,-1.6,1.9928,1.9928,90.0,C0D0,0,126.73,727.49,0,-1
31,sybil_18,858.86,598.4,0.039,-2.7243,90.0,E3F3,2,108.88,499.72,1,6
31,sybil_19,858.86,598.4,3.9389,-10.4607,90.0,E3F3,2,108.88,499.72,1,6
31,sybil_20,858.86,598.4,2.0615,2.0615,90.0,E3F3,2,108.88,499.72,1,6
31,sybil_6,601.6,241.86,15.163,15.163,0.0,D1D2,2,189.68,544.7,1,2
