step,vehicle_id,x,y,speed,accel,angle,edge_id,n_neighbors,min_rsu_dist,mean_rsu_dist,is_sybil,attacker_id
0,legit_0,598.4,787.7,0.0,0.0,180.0,D4D3,0,157.35,476.85,0,-1
1,legit_0,598.4,786.03,1.6654,1.6654,180.0,D4D3,0,157.91,476.4,0,-1
1,sybil_4,1.6,5.6,4.4351,0.0,337.95,A0A1,0,187.38,909.27,1,2
2,legit_0,598.4,782.0,4.0297,2.3644,180.0,D4D3,0,159.33,475.32,0,-1
2,sybil_4,1.6,7.72,0.0,-4.4351,359.22,A0A1,0,186.09,907.89,1,2
3,legit_0,598.4,775.4,6.6083,2.5786,180.0,D4D3,0,161.85,473.61,0,-1
3,sybil_4,1.6,12.27,10.3514,10.3514,0.0,A0A1,0,183.38,904.96,1,2
4,legit_0,598.4,766.36,9.0391,2.4308,180.0,D4D3,0,165.67,471.36,0,-1
4,sybil_4,1.6,18.65,5.2951,-5.0563,0.0,A0A1,1,179.71,900.86,1,2
4,sybil_5,1.6,18.65,0.0,0.0,341.19,A0A1,1,179.71,900.86,1,2
5,legit_0,598.4,754.86,11.4996,2.4604,180.0,D4D3,0,171.09,468.68,0,-1
5,sybil_4,1.6,27.14,12.2409,6.9458,0.0,A0A1,1,175.06,895.47,1,2
5,sybil_5,1.6,27.14,0.0,0.0,0.0,A0A1,1,175.06,895.47,1,2
6,legit_0,598.4,742.17,12.6851,1.1856,180.0,D4D3,0,177.74,465.93,0,-1
6,legit_1,201.6,812.3,0.0,0.0,0.0,B4B5,0,58.56,595.18,0,-1
6,sybil_4,1.6,38.13,18.4964,6.2555,0.0,A0A1,1,169.48,888.56,1,2
6,sybil_5,1.6,38.13,14.9575,14.9575,0.0,A0A1,1,169.48,888.56,1,2
7,legit_0,598.4,728.54,13.634,0.9488,180.0,D4D3,0,185.6,463.23,0,-1
7,legit_1,201.6,814.28,1.9814,1.9814,0.0,B4B5,0,57.65,595.72,0,-1
7,sybil_4,1.6,51.04,30.2238,11.7273,0.0,A0A1,2,163.64,880.59,1,2
7,sybil_5,1.6,51.04,10.9428,-4.0147,0.0,A0A1,2,163.64,880.59,1,2
7,sybil_6,1.6,7.1,0.0,0.0,356.5,A0A1,2,186.46,908.29,1,3
8,legit_0,598.4,714.73,13.8111,0.1772,180.0,D4D3,0,187.58,460.75,0,-1
8,legit_1,201.6,818.47,4.1883,2.2069,0.0,B4B5,0,55.91,596.88,0,-1
8,sybil_4,1.6,63.91,19.3603,-10.8634,0.0,A0A1,2,158.65,872.77,1,2
8,sybil_5,1.6,63.91,14.5669,3.6241,0.0,A0A1,2,158.65,872.77,1,2
8,sybil_6,1.6,9.43,0.0,0.0,0.0,A0A1,2,185.06,906.79,1,3
9,legit_0,598.4,701.39,13.3404,-0.4708,180.0,D4D3,0,179.73,458.61,0,-1
9,legit_1,201.6,823.99,5.52,1.3317,0.0,B4B5,0,54.03,598.46,0,-1
9,sybil_4,1.6,76.11,10.5767,-8.7836,0.0,A0A1,3,154.75,865.5,1,2
9,sybil_5,1.6,76.11,4.7135,-9.8534,0.0,A0A1,3,154.75,865.5,1,2
9,sybil_6,1.6,13.84,13.3227,13.3227,0.0,A0A1,3,182.46,903.95,1,3
9,sybil_7,1.6,13.84,2.9542,0.0,324.89,A0A1,3,182.46,903.95,1,3
10,legit_0,598.4,687.79,13.6011,0.2607,180.0,D4D3,0,172.42,456.69,0,-1
10,legit_1,201.6,831.32,7.3298,1.8098,0.0,B4B5,0,52.33,600.65,0,-1
10,sybil_4,1.6,87.84,16.4109,5.8341,0.0,A0A1,3,151.84,858.64,1,2
10,sybil_5,1.6,87.84,22.0196,17.3061,0.0,A0A1,3,151.84,858.64,1,2
10,sybil_6,1.6,20.69,11.6287,-1.694,0.0,A0A1,3,178.56,899.56,1,3
10,sybil_7,1.6,20.69,0.0,-2.9542,338.37,A0A1,3,178.56,899.56,1,3
11,legit_0,598.4,674.03,13.7596,0.1586,180.0,D4D3,0,165.84,455.0,0,-1
11,legit_1,201.6,840.09,8.7707,1.4409,0.0,B4B5,0,51.6,603.39,0,-1
11,sybil_4,1.6,99.75,7.6469,-8.764,0.0,A0A1,3,149.78,851.82,1,2
11,sybil_5,1.6,99.75,19.2595,-2.7601,0.0,A0A1,3,149.78,851.82,1,2
11,sybil_6,1.6,30.04,6.6594,-4.9693,0.0,A0A1,3,173.54,893.64,1,3
11,sybil_7,1.6,30.04,0.0,0.0,0.0,A0A1,3,173.54,893.64,1,3
12,legit_0,598.4,660.44,13.5841,-0.1755,180.0,D4D3,0,160.24,453.61,0,-1
12,legit_1,201.6,851.03,10.935,2.1643,0.0,B4B5,0,52.76,607.02,0,-1
12,legit_2,812.3,198.4,0.0,0.0,90.0,E1F1,0,100.14,597.8,0,-1
12,sybil_4,1.6,111.92,19.6265,11.9796,0.0,A0A1,3,148.62,844.99,1,2
